City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
216,Mattru,SL,79.2,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
220,Iracoubo,GF,87.04,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
221,Angoche,MZ,77.36,clear sky,-16.2325,39.9086,Guest House HESADA
226,Kayseri,TR,82.42,few clouds,38.737,35.4968,ibis Kayseri
227,Wilson,US,83.79,clear sky,36.1501,-86.2833,"Holiday Inn Express & Suites Lebanon-Nashville Area, an IHG Hotel"
229,Kalianget,ID,81.55,broken clouds,-7.05,113.9333,Pesanggrahan Garam
231,Hobyo,SO,78.22,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
233,Sorong,ID,78.98,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
235,Trairi,BR,88.75,broken clouds,-3.2778,-39.2689,janelas do mar
247,Praia,CV,82.94,broken clouds,14.9215,-23.5087,LT Aparthotel
248,Kabalo,CD,87.89,overcast clouds,-6.05,26.9167,Dibbo areaمنطقة دبو
249,Puerto Del Rosario,ES,78.55,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
253,Panaba,MX,85.12,clear sky,21.2833,-88.2667,Hotel Don Fernando
255,Qiongshan,CN,80.58,clear sky,20.0058,110.3542,Sun City Restaurant
256,Coahuayana,MX,76.21,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
257,Broome,US,76.01,overcast clouds,42.2506,-75.833,Chenango Valley State Park
260,Khash,IR,82.29,scattered clouds,28.2211,61.2158,خوابگاه آبجی محدثه
261,Caravelas,BR,75.54,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
262,Havelock,US,84.15,scattered clouds,34.8791,-76.9013,Sherwood Motel
264,Aljezur,PT,78.62,clear sky,37.3191,-8.8033,Amazigh Hostel
265,Victoria,HK,88.18,broken clouds,22.2855,114.1577,Mini Central
266,Lorengau,PG,80.22,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
267,Auki,SB,77.54,overcast clouds,-8.7676,160.7034,Auki Motel
268,Kigonsera,TZ,80.17,broken clouds,-10.8,35.05,Dibbo areaمنطقة دبو
272,Yangambi,CD,81.19,overcast clouds,0.8102,24.4336,Dibbo areaمنطقة دبو
273,Champerico,GT,84.74,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
274,Atuona,PF,76.06,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
278,Poum,NC,75.02,clear sky,-20.2333,164.0167,Dibbo areaمنطقة دبو
282,Mitu,CO,85.46,broken clouds,1.1983,-70.1733,Dibbo areaمنطقة دبو
284,Conde,BR,85.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
285,Aron,IN,76.68,broken clouds,24.3833,77.4167,Shri Ram marriage garden aron
290,Ergani,TR,85.93,clear sky,38.2653,39.7621,Serkan Hotel
293,Sungairaya,ID,75.69,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
297,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
300,Rodos,GR,82.06,few clouds,36.4408,28.2225,Spirit of the Knights Boutique Hotel
302,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
303,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
304,Tateyama,JP,82.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
310,Nicoya,CR,79.48,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
311,Corabia,RO,75.78,clear sky,43.7833,24.5,Hotel Sinner's
314,Faanui,PF,78.21,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
317,Ambilobe,MG,76.73,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
321,Bac Lieu,VN,79.12,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
324,Wajima,JP,78.13,light rain,37.4,136.9,Wajiima Onsen Yashio
327,Manggar,ID,77.56,overcast clouds,-2.8833,108.2667,Guest Hotel
328,Malindi,KE,78.96,scattered clouds,-3.2175,40.1191,African House Resort
333,Buala,SB,79.43,light rain,-8.145,159.5921,Maringe Lagoon Lodge
336,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
339,Felipe Carrillo Puerto,MX,87.42,scattered clouds,19.5833,-88.05,Hotel La Ceiba
340,Samarai,PG,80.51,overcast clouds,-10.6167,150.6667,Nuli Sapi
