City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Celestun,MX,20.8667,-90.4,82.67,71,5,5.28,clear sky
80,Rangpur,BD,25.75,89.25,81.55,86,23,5.23,few clouds
81,Ribeira Grande,PT,38.5167,-28.7,81.0,78,40,14.97,scattered clouds
82,Corowa,AU,-36.0333,146.3833,41.41,94,3,3.85,clear sky
83,Carnarvon,AU,-24.8667,113.6333,62.96,55,0,20.54,clear sky
84,Ushuaia,AR,-54.8,-68.3,40.66,65,0,3.44,clear sky
85,Cidreira,BR,-30.1811,-50.2056,62.96,73,100,11.72,moderate rain
86,Mandera,KE,3.9366,41.867,92.41,31,84,12.82,broken clouds
87,Hermanus,ZA,-34.4187,19.2345,61.81,65,43,11.14,scattered clouds
88,Saint George,US,37.1041,-113.5841,72.79,36,0,1.01,clear sky
89,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,93,100,23.02,overcast clouds
90,Avarua,CK,-21.2078,-159.775,73.45,83,100,2.3,overcast clouds
91,Pacific Grove,US,36.6177,-121.9166,61.52,93,75,1.01,broken clouds
92,Sitka,US,57.0531,-135.33,48.09,87,20,0.0,few clouds
93,Mount Pleasant,US,32.7941,-79.8626,84.06,84,75,8.05,broken clouds
94,Kaitangata,NZ,-46.2817,169.8464,45.3,92,33,4.9,light rain
95,Chuy,UY,-33.6971,-53.4616,66.38,71,100,5.39,light rain
96,Pundaguitan,PH,6.3711,126.1689,83.84,71,100,5.35,overcast clouds
97,Telchac,MX,21.2,-89.2667,86.49,61,7,3.67,clear sky
98,Puerto Ayora,EC,-0.7393,-90.3518,68.56,87,90,8.01,overcast clouds
99,Saint-Joseph,RE,-21.3667,55.6167,71.98,76,45,12.8,scattered clouds
100,San Cristobal,VE,7.7669,-72.225,75.38,59,99,0.65,overcast clouds
101,De-Kastri,RU,51.4667,140.7833,42.67,83,25,3.51,scattered clouds
102,Port Macquarie,AU,-31.4333,152.9167,55.89,72,0,5.32,clear sky
103,Simao,CN,22.7886,100.9748,71.58,74,99,2.17,overcast clouds
104,Ratnagiri,IN,16.9833,73.3,77.63,85,87,4.45,overcast clouds
105,Omboue,GA,-1.5746,9.2618,79.79,71,84,11.59,broken clouds
106,Paungde,MM,18.4833,95.5,73.4,98,86,8.93,overcast clouds
107,Mirzapur,IN,25.15,82.5833,78.76,67,90,4.56,moderate rain
108,Kurilsk,RU,45.2333,147.8833,65.39,96,100,22.7,moderate rain
109,Hami,CN,42.8,93.45,71.06,15,2,3.38,clear sky
110,Khatanga,RU,71.9667,102.5,28.26,91,50,12.5,scattered clouds
111,Ilam,NP,26.9167,87.9167,71.33,95,81,1.86,broken clouds
112,Chokurdakh,RU,70.6333,147.9167,34.97,65,100,15.52,overcast clouds
113,Poya,NC,-21.35,165.15,70.07,86,1,5.75,clear sky
114,High Rock,BS,26.6208,-78.2833,87.82,72,100,10.04,overcast clouds
115,Bathsheba,BB,13.2167,-59.5167,88.41,62,20,16.11,few clouds
116,Amapa,BR,1.0,-52.0,94.6,37,62,4.03,broken clouds
117,Maniitsoq,GL,65.4167,-52.9,43.52,83,100,5.37,overcast clouds
118,Puerto Ayacucho,VE,5.6639,-67.6236,86.63,64,83,0.87,broken clouds
119,Hradek,CZ,49.7132,13.653,54.68,100,76,37.0,light rain
120,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,87,75,9.22,broken clouds
121,College,US,64.8569,-147.8028,42.58,85,75,4.61,broken clouds
122,Marzuq,YE,14.4,46.4667,85.53,34,11,14.54,few clouds
123,Clyde River,CA,70.4692,-68.5914,37.63,93,100,18.41,moderate rain
124,Alyangula,AU,-13.8483,136.4192,77.49,88,91,4.5,overcast clouds
125,Olinda,BR,-8.0089,-34.8553,82.13,65,20,13.8,few clouds
126,Padang,ID,-0.9492,100.3543,77.05,85,100,4.25,overcast clouds
127,Bo Phloi,TH,14.3236,99.5161,75.31,89,100,5.03,overcast clouds
128,Lebu,CL,-37.6167,-73.65,48.69,61,7,7.16,clear sky
129,Sur,OM,22.5667,59.5289,84.81,66,0,11.88,clear sky
130,Alofi,NU,-19.0595,-169.9187,71.49,94,35,4.61,scattered clouds
131,Klaksvik,FO,62.2266,-6.589,50.92,90,95,21.61,overcast clouds
132,Biak,ID,-0.9131,122.8766,76.26,87,48,4.92,scattered clouds
133,Huarmey,PE,-10.0681,-78.1522,66.27,76,49,7.54,scattered clouds
134,Ban Dung,TH,17.699,103.2596,81.1,99,100,3.94,overcast clouds
135,Bethel,US,41.3712,-73.414,81.55,66,0,6.91,clear sky
136,Katsuura,JP,35.1333,140.3,80.38,89,100,28.74,overcast clouds
137,Bojnurd,IR,37.4747,57.329,80.55,16,0,11.5,clear sky
138,Lagoa,PT,39.05,-27.9833,74.05,84,5,8.5,clear sky
139,Palana,RU,59.1167,159.9667,38.75,64,67,7.2,broken clouds
140,Vostochnyy,RU,55.8167,37.8667,51.73,86,100,22.77,overcast clouds
141,Pervomayskoye,RU,43.919,46.7102,84.87,43,11,11.39,few clouds
142,Kodiak,US,57.79,-152.4072,54.91,82,100,12.66,overcast clouds
143,Botwood,CA,49.1499,-55.3482,56.89,65,100,5.77,overcast clouds
144,Solnechnyy,RU,50.7214,136.6319,36.93,87,100,1.63,overcast clouds
145,Banda Aceh,ID,5.5577,95.3222,80.1,79,96,10.94,overcast clouds
146,Acajutla,SV,13.5928,-89.8275,81.32,76,82,5.68,broken clouds
147,Tanete,ID,-3.9443,119.7848,74.98,94,99,3.42,overcast clouds
148,Wageningen,NL,51.9667,5.6667,59.95,71,75,12.66,broken clouds
149,Isangel,VU,-19.55,169.2667,73.51,94,20,0.0,few clouds
150,Mayo,US,38.8876,-76.5119,85.17,71,0,4.61,clear sky
151,Yulara,AU,-25.2406,130.9889,74.12,19,10,10.56,clear sky
152,Neiafu,TO,-18.65,-173.9833,75.88,88,40,9.22,scattered clouds
153,Rehoboth,NA,-23.3167,17.0833,66.97,9,0,14.67,clear sky
154,Svetlogorsk,BY,52.6333,29.7333,51.53,84,100,14.45,overcast clouds
155,Hilo,US,19.7297,-155.09,71.26,90,75,5.75,broken clouds
156,Diego De Almagro,CL,-26.3667,-70.05,69.98,15,0,8.25,clear sky
157,Touros,BR,-5.1989,-35.4608,85.48,53,66,17.78,broken clouds
158,Sorland,NO,67.667,12.6934,49.86,67,99,25.95,overcast clouds
159,Orbetello,IT,42.4408,11.2196,75.22,68,7,1.14,clear sky
160,Minggang,CN,32.4586,114.0486,76.8,36,100,14.09,overcast clouds
161,Ust-Tsilma,RU,65.441,52.1498,51.58,82,97,6.76,overcast clouds
162,Cajaruro,PE,-5.7364,-78.4256,85.19,54,33,4.65,light rain
163,Coihaique,CL,-45.5752,-72.0662,40.95,87,100,4.61,light intensity shower rain
164,Oranjemund,NA,-28.55,16.4333,57.51,67,0,20.51,clear sky
165,Yar-Sale,RU,66.8333,70.8333,42.6,87,100,6.78,overcast clouds
166,Mandalgovi,MN,45.7625,106.2708,41.94,62,49,8.66,scattered clouds
167,Haizhou,CN,34.5817,119.1289,63.52,54,10,13.82,clear sky
168,Tieli,CN,46.95,128.05,37.45,40,0,12.03,clear sky
169,Ponta Do Sol,PT,32.6667,-17.1,77.72,81,60,3.56,broken clouds
170,Basco,PH,20.4487,121.9702,83.17,73,54,10.83,broken clouds
171,Pangnirtung,CA,66.1451,-65.7125,41.0,100,100,12.66,overcast clouds
172,Upernavik,GL,72.7868,-56.1549,34.0,77,100,7.61,overcast clouds
173,Zemio,CF,5.0314,25.1361,83.8,67,50,4.97,scattered clouds
174,Tigil,RU,57.8,158.6667,38.48,62,83,7.61,broken clouds
175,Cassilandia,BR,-19.1133,-51.7342,97.45,26,7,10.58,clear sky
176,Olafsvik,IS,64.8945,-23.7142,50.05,98,100,10.74,light rain
177,Vitim,RU,59.4511,112.5578,40.93,99,100,7.56,overcast clouds
178,Tuatapere,NZ,-46.1333,167.6833,47.05,90,100,5.41,overcast clouds
179,Trinidad,BO,-14.8333,-64.9,91.38,55,20,18.41,smoke
180,Luderitz,NA,-26.6481,15.1594,60.91,55,0,33.06,clear sky
181,Nikolskoye,RU,59.7035,30.7861,51.69,92,100,15.82,moderate rain
182,Banjar,ID,-8.19,114.9675,76.06,90,60,8.37,broken clouds
183,Russell,US,32.3502,-85.1999,83.97,65,0,3.44,clear sky
184,Sivaki,RU,52.6333,126.75,34.09,53,2,16.26,clear sky
185,Norman Wells,CA,65.282,-126.8329,39.24,87,75,3.44,broken clouds
186,Kropotkin,RU,45.4375,40.5756,68.86,47,98,7.76,overcast clouds
187,The Valley,AI,18.217,-63.0578,87.1,79,20,13.8,few clouds
188,Sept-Iles,CA,50.2001,-66.3821,55.06,54,40,10.36,scattered clouds
189,Yarkovo,RU,57.4028,67.0786,59.67,88,93,5.5,overcast clouds
190,Stephenville,US,32.2207,-98.2023,86.13,56,0,6.91,clear sky
191,Vao,NC,-22.6667,167.4833,73.9,81,75,14.03,broken clouds
192,Ogawa,JP,36.05,139.2667,81.18,70,99,14.34,light rain
193,Ayan,RU,56.45,138.1667,40.23,74,100,17.63,light rain
194,Lompoc,US,34.6391,-120.4579,66.34,96,100,3.0,light intensity shower rain
195,Merauke,ID,-8.4667,140.3333,78.98,88,79,13.82,broken clouds
196,Pevek,RU,69.7008,170.3133,32.18,87,100,9.82,overcast clouds
197,Lillooet,CA,50.6856,-121.942,53.53,62,3,1.41,clear sky
